2025-07-21 16:04:03.643 [info] update#setState idle
2025-07-21 16:04:33.475 [info] update#setState checking for updates
2025-07-21 16:04:33.685 [info] update#setState available for download
2025-07-21 16:06:07.981 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 16:06:08.943 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 16:06:11.874 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 16:09:51.884 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 16:11:52.954 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 16:21:59.049 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 16:24:10.252 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 16:33:42.970 [error] CodeWindow: failed to load (reason: <unknown>, code: -3)
2025-07-21 16:59:15.038 [info] Extension host with pid 6943 exited with code: 0, signal: unknown.
